Number, Restaurent Name, Trip Advisor URL, Visited?, Rating
93,Pilar's Tamales,http://tripadvisor.com/Restaurant_Review-g29556-d2354562-Reviews-Pilar_s_Tamales-Ann_Arbor_Michigan.html,no,
94,Bewon,http://tripadvisor.com/Restaurant_Review-g29556-d416968-Reviews-Bewon-Ann_Arbor_Michigan.html,no,
95,Mark's Mid-Town Coney Island,http://tripadvisor.com/Restaurant_Review-g29556-d416964-Reviews-Mark_s_Mid_Town_Coney_Island-Ann_Arbor_Michigan.html,no,
96,Los Amigos Restaurant & Cantina,http://tripadvisor.com/Restaurant_Review-g29556-d2653908-Reviews-Los_Amigos_Restaurant_Cantina-Ann_Arbor_Michigan.html,no,
97,The Pretzel Bell,http://tripadvisor.com/Restaurant_Review-g29556-d10186823-Reviews-The_Pretzel_Bell-Ann_Arbor_Michigan.html,no,
98,Ichiban Japanese Steakhouse & Sushi Bar,http://tripadvisor.com/Restaurant_Review-g29556-d2162107-Reviews-Ichiban_Japanese_Steakhouse_Sushi_Bar-Ann_Arbor_Michigan.html,no,
99,Monahan's Seafood Market,http://tripadvisor.com/Restaurant_Review-g29556-d2249398-Reviews-Monahan_s_Seafood_Market-Ann_Arbor_Michigan.html,no,
100,Cafe Felix,http://tripadvisor.com/Restaurant_Review-g29556-d416771-Reviews-Cafe_Felix-Ann_Arbor_Michigan.html,no,
101,Aut Bar,http://tripadvisor.com/Restaurant_Review-g29556-d510366-Reviews-Aut_Bar-Ann_Arbor_Michigan.html,no,
102,Blue Nile of Ann Arbor,http://tripadvisor.com/Restaurant_Review-g29556-d416811-Reviews-Blue_Nile_of_Ann_Arbor-Ann_Arbor_Michigan.html,no,
103,Red Lobster,http://tripadvisor.com/Restaurant_Review-g29556-d416975-Reviews-Red_Lobster-Ann_Arbor_Michigan.html,no,
104,Whole Foods Market,http://tripadvisor.com/Restaurant_Review-g29556-d7618873-Reviews-Whole_Foods_Market-Ann_Arbor_Michigan.html,no,
105,Broken Egg,http://tripadvisor.com/Restaurant_Review-g29556-d416943-Reviews-Broken_Egg-Ann_Arbor_Michigan.html,no,
106,El Harissa Market Cafe,http://tripadvisor.com/Restaurant_Review-g29556-d5502554-Reviews-El_Harissa_Market_Cafe-Ann_Arbor_Michigan.html,no,
107,Godaiko Japanese Restaurant,http://tripadvisor.com/Restaurant_Review-g29556-d416766-Reviews-Godaiko_Japanese_Restaurant-Ann_Arbor_Michigan.html,no,
108,Bagger Dave's,http://tripadvisor.com/Restaurant_Review-g29556-d1315039-Reviews-Bagger_Dave_s-Ann_Arbor_Michigan.html,no,
109,Madras Masala,http://tripadvisor.com/Restaurant_Review-g29556-d782029-Reviews-Madras_Masala-Ann_Arbor_Michigan.html,no,
110,Don Juan Mexican Bar & Grill,http://tripadvisor.com/Restaurant_Review-g29556-d4938712-Reviews-Don_Juan_Mexican_Bar_Grill-Ann_Arbor_Michigan.html,no,
